"detail_id","name","prefecture","address","geocode_address","latitude","longitude","start_date","status_text","detail_url","image_url"
"1909","伊参簡易郵便局","群馬県","〒377-0432 群馬県吾妻郡中之条町大字五反田3534-22","群馬県吾妻郡中之条町大字五反田3534-22","36.619289","138.821579","2024-05-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1909","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240411133731_thum.jpg"
"1915","北上郵便局","岩手県","〒024-8799 岩手県北上市大通り3-6-1","岩手県北上市大通り3-6-1","39.283615","141.1138","2024-06-06","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1915","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./2_20240513164346_thum.jpg"
"1916","阿倍野文の里駅前郵便局","大阪府","〒545-0004 大阪府大阪市阿倍野区文の里１－７－４１","大阪府大阪市阿倍野区文の里１－７－４１","34.637131","135.518677","2024-05-27","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1916","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./9_20240515151305_thum.jpg"
"1923","焼山郵便局","青森県","〒034-0301 青森県十和田市奥瀬栃久保１１","青森県十和田市奥瀬栃久保１１","40.571651","141.03363","2024-06-20","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1923","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./2_20240604122759_thum.jpg"
"1926","町屋郵便局","茨城県","〒311-0399 茨城県常陸太田市町屋町1236-1","茨城県常陸太田市町屋町1236-1","36.608288","140.561966","2024-07-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1926","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240606103231_thum.png"
"1928","福井北四ツ居郵便局","福井県","〒918-8205 福井県福井市北四ツ居3－11－15","福井県福井市北四ツ居3－11－15","36.069221","136.246429","2024-07-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1928","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./7_20240610135934_thum.gif"
"1933","安房勝山駅郵便局","千葉県","〒299-2199 千葉県安房郡鋸南町竜島835-3","千葉県安房郡鋸南町竜島835-3","35.115826","139.834396","2024-07-16","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1933","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240620120629_thum.png"
"1936","藤吾郵便局","山形県","〒999-3234 山形県上山市藤吾原1448－1","山形県上山市藤吾原1448－1","38.128769","140.269272","2024-08-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1936","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./2_20240705132351_thum.jpg"
"1937","半郷郵便局","山形県","〒990-2305 山形県山形市蔵王半郷戸苅田307－21","山形県山形市蔵王半郷戸苅田307－21","38.187584","140.325256","2024-08-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1937","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./2_20240705132822_thum.jpg"
"1938","宮生郵便局","山形県","〒999-3201 山形県上山市宮脇385－1","山形県上山市宮脇385－1","38.133228","140.293106","2024-08-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1938","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./2_20240705133059_thum.jpg"
"1941","田原郵便局","和歌山県","〒649-4112 和歌山県東牟婁郡串本町田原４２６","和歌山県東牟婁郡串本町田原４２６","33.540421","135.873093","2024-08-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1941","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./9_20240719174003_thum.png"
"1942","名古屋振甫郵便局","愛知県","〒464-0072 愛知県名古屋市千種区振甫町2-25-8","愛知県名古屋市千種区振甫町2-25-8","35.174152","136.950333","2024-08-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1942","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./8_20240719183315_thum.png"
"1944","釧路桜ヶ岡郵便局","北海道","〒085-0805 北海道北海道釧路市桜ケ岡4-3-32","北海道北海道釧路市桜ケ岡4-3-32","43.802906","143.894684","2024-08-09","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1944","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./1_20240801160359_thum.png"
"1945","釧路桜ヶ岡五郵便局","北海道","〒085-0805 北海道北海道釧路市桜ケ岡5-10-17","北海道北海道釧路市桜ケ岡5-10-17","43.802906","143.894684","2024-08-09","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1945","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./1_20240801161441_thum.png"
"1947","水沢大町郵便局","岩手県","〒023-0045 岩手県奥州市水沢大町20","岩手県奥州市水沢大町20","39.143806","141.143311","2024-09-02","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1947","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./2_20240805112319_thum.jpg"
"1948","函館時任郵便局","北海道","〒040-0012 北海道北海道函館市時任町23-8","北海道北海道函館市時任町23-8","43.802906","143.894684","2025-06-09","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1948","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./1_20250522180411_thum.png"
"1952","亀戸駅前郵便局","東京都","〒136-0071 東京都江東区亀戸5-1-1 アトレ亀戸5F","東京都江東区亀戸5-1-1 アトレ亀戸5F","35.697639","139.825806","2024-09-17","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1952","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./5_20240827133130_thum.jpg"
"1953","広島矢野東郵便局","広島県","〒736-0085 広島県広島市安芸区矢野西7-2-2","広島県広島市安芸区矢野西7-2-2","34.345551","132.53801","2024-09-17","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1953","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./10_20240902170519_thum.png"
