"detail_id","name","prefecture","address","geocode_address","latitude","longitude","start_date","status_text","detail_url","mailing_address"
"1831","値賀郵便局","佐賀県","〒847-1441 佐賀県東松浦郡玄海町今村6596-1","佐賀県東松浦郡玄海町今村6596-1","33.503384","129.852356","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1831","〒847-1441 佐賀県東松浦郡玄海町今村6596-1 値賀郵便局（風景印担当）宛"
"1846","剣渕郵便局","北海道","〒098-0338 北海道上川郡剣淵町仲町８－４","北海道上川郡剣淵町仲町８－４","44.098885","142.363541","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1846","〒098-0338 北海道上川郡剣淵町仲町８－４ 剣渕郵便局（風景印担当）宛"
"1851","若菜郵便局","北海道","〒068-0425 北海道夕張市若菜9-3","北海道夕張市若菜9-3","43.026405","141.971237","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1851","〒068-0425 北海道夕張市若菜9-3 若菜郵便局(風景印担当あて)"
"1847","富士里簡易郵便局","長野県","〒389-1314 長野県上水内郡信濃町大字穂波446番地12","長野県上水内郡信濃町大字穂波446番地12","36.775654","138.20343","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1847","〒389-1314 長野県上水内郡信濃町大字穂波446番地12 富士里簡易郵便局 記念押印担当 あて"
"1849","園原郵便局","長野県","〒395-0305 長野県下伊那郡阿智村駒2352-355","長野県下伊那郡阿智村駒2352-355","35.486961","137.65451","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1849","〒395-0305 長野県下伊那郡阿智村駒2352-355 園原郵便局 記念押印担当 あて"
"1854","大屋駅郵便局","長野県","〒386-0152 長野県長野県上田市大屋414-2","長野県長野県上田市大屋414-2","36.648537","138.194824","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1854","〒386-0152 長野県上田市大屋470-1 大屋郵便局 記念押印担当 あて"
"1859","美田郵便局","島根県","〒684-0303 島根県隠岐郡西ノ島町美田283-31","島根県隠岐郡西ノ島町美田283-31","36.098858","133.029358","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1859","〒684-0303 島根県隠岐郡西ノ島町美田283-31 美田郵便局 記念押印担当あて ・押印サービスご希望のお客さまは、窓口にお越しいただくか郵頼にてお申込みください。 ・開始日の2024年2月5日(月)の日付で押印ご希望のお客さまは、2024年1月31日(水)までに必着するよう郵送してください。 ・押印の指示内容、お客さまの電話連絡先を必ずご明記ください。 ・返信用封筒を忘れずに送付してください。 ・指示内容、送付物に不備があり、お客さまへの連絡が取れない場合は、押印せずお返しいたします。"
"1881","呉天応郵便局","広島県","〒737-0874 広島県広島県呉市天応南町5-26","広島県広島県呉市天応南町5-26","34.385277","132.455276","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1881","737-0874 広島県呉市天応南町5-26 呉天応郵便局 記念押印担当あて ・押印サービスご希望のお客さまは、窓口にお越しいただくか郵頼にてお申込みください。 ・開始日の2024年3月8日(金)の日付で押印ご希望のお客さまは、2024年3月5日(火)までに必着するよう郵送してください。 ・押印の指示内容、お客さまの電話連絡先を必ずご明記ください。 ・返信用封筒を忘れずに送付してください。 ・指示内容、送付物に不備があり、お客さまへの連絡が取れない場合は、押印せずお返しいたします。"
"1882","伊東玖須美郵便局","静岡県","〒414-0026 静岡県伊東市竹の台5-28","静岡県伊東市竹の台5-28","34.966656","139.09877","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1882","①(2024年3月7日(木)まで到着分) 伊東玖須美郵便局（移転前） 〒414-0024 伊東市和田1-13-9 ・使用開始日の風景印を郵頼希望される場合は、2024年3月7日(木)までに届くように余裕を持って郵送をお願いします。 ・風景印の押印の具体的な要望等が明確にわかるように内容を記載してください。 ②(2024年3月11日(月)以降) 伊東玖須美郵便局（移転後） 〒414-0026 伊東市竹の台5-28 ・窓口での押印開始は2024年3月11日（月）窓口開始時間です。 【注意事項等】 ・お申し込みの際、複数種類の郵頼を一つの往信封筒に入れるのは、ご遠慮ください。 ・依頼内容に不備があった場合などで、確認の連絡が取れない場合には、押印せずに返送させていただきます。 ・押印の具体的な要望等が書かれた用紙等及び往信用封筒は返信いたしません。 ・多数の申込みが見込まれる為、返却にお時間がかかる場合があります。 ・切手の貼り方や台紙の材質によって印影が乱れる場合があります。 ・ご希望に添えない場合もございますのでご了承ください。"
"1884","高岡守山郵便局","富山県","〒933-0986 富山県高岡市西海老坂２９２","富山県高岡市西海老坂２９２","36.780476","136.995209","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1884","〒933-0986 富山県高岡市西海老坂２９２ 高岡守山郵便局 風景印担当あて (留意点) ・押印の具体的な指示内容等が記入された用紙等及び往信用封筒は返信いたしません。 ・締切後に到着した郵頼につきましてはお客さまへ返信させていただく場合がございます。 ・依頼内容に不明な点等があり、お客さまへの連絡が取れない場合は、押印せずお返しする場合があります。 ・多数の郵頼が見込まれるため、返信にお時間がかかる場合があります。"
